2012-1689717	2012 1689717	1689716 1663549 4.600000 7400 20190102094935820 1
2012-1689718	2012 1689718	1689716 1666418 4.600000 4000 20190102094935820 1
2012-1689719	2012 1689719	1689716 1676038 4.600000 1400 20190102094935820 1
2012-1689720	2012 1689720	1689716 1676182 4.600000 200 20190102094935820 1
2012-1689721	2012 1689721	1689716 1676447 4.600000 2000 20190102094935820 2
2012-1689722	2012 1689722	1689716 1678100 4.600000 1000 20190102094935820 2
2012-1689723	2012 1689723	1689716 1681240 4.600000 1000 20190102094935820 2
2012-1689724	2012 1689724	1689716 1681289 4.600000 500 20190102094935820 2
